Actual,Prediction,Bullish Probability
1,1,0.5257788
1,1,0.5257788
1,1,0.5231338
1,1,0.5257788
1,1,0.5175565
0,1,0.5231338
1,1,0.51081145
1,1,0.5231338
1,1,0.5163939
1,1,0.5231338
0,1,0.51178825
1,1,0.5163939
1,1,0.5231338
0,1,0.5231338
1,1,0.51784706
1,1,0.5257788
0,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.51784706
1,0,0.49872196
1,1,0.5257788
0,1,0.5257788
1,1,0.508917
1,1,0.5231338
1,1,0.5231338
0,1,0.5231338
1,1,0.5231338
0,1,0.5231338
0,1,0.5231338
0,1,0.508917
0,1,0.5231338
0,1,0.5163939
1,1,0.5257788
0,1,0.51784706
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
0,1,0.5163939
0,1,0.5163939
0,1,0.5163939
0,1,0.51784706
1,1,0.5064026
0,1,0.5163939
0,1,0.5163939
0,1,0.5231338
0,1,0.5301016
1,1,0.5257788
1,1,0.51784706
1,1,0.5231338
0,1,0.5163939
0,1,0.5257788
0,1,0.51784706
1,1,0.5257788
0,1,0.5257788
0,1,0.5257788
1,1,0.5301016
1,1,0.5231338
0,1,0.5257788
0,1,0.5257788
1,1,0.5257788
0,1,0.5257788
0,1,0.51784706
0,1,0.5257788
0,1,0.51784706
1,1,0.55158925
0,1,0.5257788
1,1,0.5231338
0,1,0.5257788
1,1,0.5257788
0,1,0.5257788
0,1,0.5257788
1,1,0.51784706
1,1,0.5434259
1,1,0.5231338
1,1,0.5231338
0,1,0.5175565
0,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
0,1,0.5257788
1,1,0.55158925
0,1,0.5113518
1,1,0.5231338
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5231338
1,1,0.5257788
1,1,0.51784706
1,1,0.5257788
1,0,0.49872196
1,1,0.5257788
1,1,0.5175565
1,1,0.5257788
1,1,0.5231338
1,1,0.5231338
1,1,0.5175565
1,1,0.5257788
1,1,0.5163939
1,1,0.508917
0,1,0.51178825
0,1,0.51784706
1,1,0.5231338
1,1,0.5231338
1,1,0.5231338
1,1,0.5257788
0,1,0.5163939
1,1,0.5231338
1,1,0.5257788
1,1,0.5163939
0,1,0.5257788
0,1,0.5231338
0,1,0.5163939
0,1,0.5231338
1,1,0.5231338
0,1,0.5163939
0,1,0.5231338
0,1,0.51178825
0,1,0.5163939
0,1,0.5163939
1,1,0.5231338
0,1,0.51784706
1,1,0.5231338
1,1,0.5231338
0,1,0.51784706
0,1,0.5163939
0,1,0.5257788
1,1,0.5257788
1,1,0.5231338
0,1,0.5231338
0,1,0.5231338
0,1,0.51784706
0,1,0.5231338
1,1,0.5257788
0,1,0.5231338
0,1,0.55158925
1,1,0.5231338
1,1,0.5257788
0,1,0.5257788
0,1,0.5231338
0,1,0.5231338
0,1,0.55158925
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5231338
0,1,0.5257788
1,1,0.5257788
0,1,0.5257788
1,1,0.55158925
1,1,0.5175565
0,1,0.5257788
0,1,0.5257788
0,1,0.508917
1,1,0.5257788
1,1,0.5257788
0,1,0.5257788
1,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.51784706
0,1,0.5163939
0,1,0.5257788
0,1,0.5257788
0,1,0.5434259
1,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.51784706
0,1,0.5257788
0,1,0.5175565
0,1,0.5257788
0,1,0.5257788
0,1,0.51178825
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
0,1,0.5257788
1,1,0.5231338
1,1,0.5231338
1,1,0.5231338
1,1,0.5257788
1,1,0.51784706
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
0,1,0.5257788
1,1,0.5257788
0,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5231338
1,1,0.508917
1,1,0.5257788
1,1,0.5231338
1,1,0.5231338
1,1,0.5163939
1,1,0.5231338
1,1,0.5257788
1,1,0.5231338
1,1,0.5163939
1,1,0.5163939
0,1,0.5489648
0,1,0.5163939
1,1,0.51784706
0,1,0.55158925
1,1,0.5257788
1,1,0.5231338
0,1,0.5163939
0,1,0.5231338
0,1,0.5064026
1,1,0.5231338
0,1,0.5231338
1,1,0.5231338
1,1,0.5231338
1,1,0.5257788
1,1,0.508917
1,1,0.55158925
1,1,0.5231338
1,1,0.5231338
1,1,0.5257788
1,1,0.51784706
0,1,0.55158925
1,1,0.5231338
1,1,0.5257788
1,1,0.5113518
1,1,0.51784706
1,1,0.51784706
1,1,0.5231338
1,1,0.5257788
1,1,0.5231338
1,1,0.5257788
1,1,0.5231338
1,1,0.5257788
1,1,0.5231338
1,1,0.5231338
1,1,0.5257788
1,1,0.5231338
1,1,0.5231338
1,1,0.51784706
1,1,0.5231338
1,1,0.5231338
1,1,0.5163939
1,1,0.51784706
1,1,0.5163939
1,1,0.51784706
1,1,0.51784706
1,1,0.5163939
0,1,0.5257788
1,1,0.51784706
1,1,0.5231338
1,1,0.51784706
0,1,0.5257788
1,1,0.508917
1,1,0.5163939
0,0,0.49907765
0,1,0.51784706
1,1,0.5231338
1,1,0.51784706
1,1,0.5231338
0,1,0.508917
1,1,0.508917
0,0,0.48653337
1,1,0.51784706
1,1,0.508917
1,1,0.5163939
1,1,0.5231338
1,1,0.51784706
0,1,0.5231338
1,1,0.5257788
0,1,0.5163939
0,1,0.5257788
1,1,0.5257788
0,1,0.5163939
0,1,0.51667136
0,1,0.5257788
0,1,0.5163939
0,1,0.508917
0,1,0.5231338
0,1,0.5231338
0,1,0.5231338
0,1,0.51784706
0,1,0.5231338
0,1,0.5231338
1,1,0.5231338
1,1,0.5257788
1,1,0.5231338
0,1,0.5163939
1,1,0.5257788
1,1,0.5257788
0,1,0.51784706
0,1,0.5257788
0,1,0.5257788
0,1,0.5231338
0,1,0.5231338
0,1,0.5257788
0,1,0.5257788
0,1,0.5231338
0,1,0.5257788
1,1,0.5163939
0,1,0.5257788
0,1,0.5489648
0,1,0.5257788
1,1,0.5175565
0,1,0.5163939
0,1,0.5257788
0,1,0.5257788
0,1,0.5175565
1,1,0.5257788
0,1,0.5257788
1,1,0.5231338
0,1,0.5257788
0,1,0.5257788
1,1,0.5257788
0,1,0.5257788
0,1,0.5231338
0,1,0.5257788
0,1,0.5257788
0,1,0.5231338
1,1,0.5257788
0,1,0.5257788
1,1,0.51784706
0,1,0.5231338
1,1,0.5257788
1,1,0.5257788
0,1,0.5257788
0,1,0.5257788
1,1,0.5257788
0,1,0.5257788
0,1,0.5257788
1,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5163939
1,1,0.5175565
0,1,0.5257788
1,1,0.5231338
1,1,0.5257788
0,1,0.5257788
1,1,0.5257788
0,1,0.5257788
1,1,0.5231338
1,1,0.5231338
1,1,0.5231338
0,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5231338
0,1,0.5257788
1,1,0.51784706
1,1,0.508917
0,1,0.5231338
1,1,0.5257788
1,1,0.5257788
1,1,0.5231338
1,1,0.5257788
1,1,0.5257788
1,1,0.5231338
1,1,0.5257788
1,1,0.55158925
1,1,0.5231338
1,1,0.5257788
0,1,0.5175565
1,1,0.5257788
1,1,0.5257788
0,1,0.5257788
1,1,0.5231338
0,1,0.51784706
0,1,0.5231338
1,1,0.5064026
0,1,0.5257788
1,1,0.51784706
0,1,0.5257788
1,1,0.5163939
1,1,0.5257788
1,1,0.51784706
0,1,0.5231338
0,1,0.5231338
1,1,0.5163939
1,1,0.5257788
1,1,0.5163939
0,1,0.5231338
1,1,0.51784706
0,1,0.5163939
1,1,0.5163939
0,1,0.5257788
1,1,0.5231338
1,1,0.5231338
0,1,0.5231338
1,1,0.5163939
1,1,0.5163939
0,1,0.5257788
1,1,0.5257788
1,1,0.5231338
0,1,0.5257788
0,1,0.5231338
1,1,0.5231338
0,1,0.5257788
0,1,0.5231338
1,1,0.5257788
1,1,0.5257788
0,1,0.5231338
0,1,0.5231338
1,1,0.5257788
0,1,0.5231338
1,1,0.5231338
1,1,0.5257788
0,1,0.5257788
1,1,0.5257788
1,1,0.5231338
1,1,0.5231338
0,1,0.5257788
0,1,0.5257788
0,1,0.5231338
0,1,0.5231338
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
1,1,0.5257788
0,1,0.5257788
0,1,0.5231338
0,1,0.5257788
0,1,0.5231338
0,1,0.5257788
0,1,0.5257788
1,1,0.51784706
0,1,0.5163939
0,1,0.5257788
0,1,0.5257788
0,1,0.5064026
0,1,0.5257788
0,1,0.5231338
0,1,0.5257788
1,1,0.5231338
0,1,0.5231338
0,1,0.5175565
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5231338
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
1,1,0.5257788
0,1,0.5257788
0,1,0.5231338
1,1,0.5257788
1,1,0.51784706
1,1,0.5231338
0,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
0,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
0,1,0.5257788
0,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
0,1,0.5231338
0,1,0.5231338
0,1,0.5257788
0,1,0.5257788
0,1,0.5231338
0,1,0.51784706
0,1,0.5257788
0,1,0.508917
1,1,0.5132422
0,1,0.5257788
0,1,0.51784706
0,1,0.5231338
0,1,0.5257788
0,1,0.5231338
0,1,0.5175565
0,1,0.5231338
0,1,0.5231338
0,1,0.5231338
0,1,0.5257788
1,1,0.5163939
0,1,0.5257788
0,1,0.5257788
0,1,0.5231338
0,1,0.5257788
0,1,0.5231338
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
0,1,0.52585644
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
0,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
0,1,0.5163939
1,1,0.5257788
1,1,0.5231338
1,1,0.5231338
1,1,0.51784706
1,1,0.5163939
1,1,0.5231338
1,1,0.55158925
1,1,0.51784706
1,1,0.5231338
0,1,0.5025736
0,1,0.5163939
0,1,0.5163939
0,1,0.5163939
0,1,0.508917
0,1,0.5231338
1,1,0.5231338
1,1,0.5257788
0,1,0.5163939
1,1,0.51784706
1,1,0.51784706
1,1,0.51784706
1,1,0.51784706
0,1,0.51784706
0,1,0.5231338
1,1,0.5231338
1,1,0.51784706
0,1,0.5257788
1,1,0.55158925
1,1,0.5163939
1,1,0.508917
1,1,0.5231338
1,1,0.5231338
0,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
0,1,0.5257788
0,1,0.5231338
0,1,0.5257788
1,1,0.5257788
1,1,0.5231338
0,1,0.5231338
0,1,0.5231338
0,1,0.5257788
1,1,0.51784706
0,1,0.5231338
1,1,0.508917
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5231338
0,1,0.5489648
0,1,0.5231338
0,1,0.5257788
1,1,0.531157
0,1,0.5231338
0,1,0.5257788
0,1,0.5231338
0,1,0.5231338
0,1,0.51784706
0,1,0.5231338
1,1,0.5175565
0,1,0.5257788
0,1,0.5231338
0,1,0.51784706
0,1,0.5231338
0,1,0.5231338
0,1,0.5285152
0,1,0.5163939
0,1,0.5175565
1,1,0.5231338
0,1,0.5257788
1,1,0.5257788
1,1,0.5257788
0,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5312115
1,1,0.5231338
1,1,0.5257788
0,1,0.5257788
1,1,0.5257788
1,1,0.5231338
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
1,1,0.5257788
1,1,0.5257788
0,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5064026
1,1,0.5257788
0,1,0.5257788
0,1,0.5064026
0,1,0.508917
0,1,0.5163939
0,1,0.5231338
0,1,0.5064026
0,1,0.5257788
0,1,0.5231338
0,1,0.51784706
0,1,0.5257788
0,1,0.5163939
0,1,0.51784706
0,1,0.508917
1,1,0.5163939
0,1,0.5257788
0,1,0.5257788
0,1,0.508917
0,1,0.5257788
0,1,0.5257788
0,1,0.51784706
0,1,0.5231338
0,1,0.5064026
0,1,0.5257788
0,1,0.5231338
0,1,0.508917
1,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
1,1,0.5257788
0,1,0.5231338
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
1,1,0.5257788
1,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5231338
0,1,0.5257788
0,1,0.5257788
1,1,0.5257788
0,1,0.5257788
1,1,0.5257788
1,1,0.5257788
0,1,0.5257788
1,1,0.5257788
0,1,0.508917
1,1,0.5231338
0,1,0.5175565
1,1,0.5257788
0,1,0.5231338
1,1,0.5175565
0,1,0.5257788
1,1,0.5257788
0,1,0.5017936
0,1,0.5257788
1,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
1,1,0.5257788
0,1,0.5064026
0,1,0.5257788
0,1,0.5025736
0,1,0.5257788
0,1,0.5257788
0,1,0.5231338
0,1,0.5257788
0,1,0.5231338
0,1,0.5064026
1,1,0.5257788
1,1,0.508917
0,1,0.5257788
0,1,0.5257788
0,1,0.51784706
0,1,0.5231338
1,1,0.5257788
0,1,0.5231338
1,1,0.5257788
1,1,0.5257788
0,1,0.5257788
0,1,0.5257788
1,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
1,1,0.5257788
0,1,0.5064026
1,1,0.5064026
0,1,0.531157
1,1,0.51784706
0,1,0.5257788
1,1,0.51386523
1,1,0.5231338
1,1,0.5257788
1,1,0.5064026
0,1,0.5257788
0,1,0.5257788
1,1,0.55158925
0,1,0.5257788
0,1,0.55158925
0,1,0.5257788
0,1,0.5257788
1,1,0.5231338
1,1,0.55158925
1,1,0.5257788
0,1,0.5257788
1,1,0.5231338
0,1,0.5257788
1,1,0.5231338
1,1,0.5231338
0,1,0.55158925
0,1,0.5257788
0,1,0.5257788
1,1,0.5231338
1,1,0.5163939
0,1,0.5163939
0,1,0.5231338
0,1,0.5257788
0,1,0.55158925
0,1,0.55158925
0,1,0.5257788
1,1,0.5257788
0,1,0.5231338
1,1,0.5064026
0,1,0.5257788
0,1,0.5231338
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
1,1,0.5231338
1,1,0.5257788
1,1,0.5113518
1,1,0.5257788
1,1,0.5257788
0,1,0.5257788
0,1,0.5257788
1,1,0.5257788
1,1,0.5231338
1,1,0.508917
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5231338
1,1,0.5064026
1,1,0.5113518
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
0,1,0.5257788
1,1,0.5163939
1,1,0.5231338
1,1,0.5257788
1,1,0.5257788
0,1,0.51784706
0,1,0.5231338
1,1,0.5257788
1,1,0.512042
1,1,0.5231338
1,1,0.508917
1,1,0.5064026
1,0,0.49628618
1,1,0.5231338
1,1,0.508917
1,1,0.5064026
1,1,0.5231338
1,1,0.5064026
1,1,0.5231338
1,1,0.5163939
1,1,0.51784706
1,1,0.51784706
1,1,0.51667136
1,1,0.5231338
1,1,0.51784706
1,1,0.5257788
1,1,0.508917
1,1,0.5257788
1,1,0.51784706
1,1,0.5231338
1,1,0.508917
1,1,0.5064026
0,1,0.51081145
1,1,0.5064026
1,1,0.5064026
0,1,0.51784706
0,1,0.5231338
0,1,0.5163939
0,1,0.508917
1,1,0.5064026
1,1,0.51784706
0,1,0.5064026
1,1,0.5257788
1,1,0.51784706
0,1,0.51784706
0,1,0.5064026
1,1,0.5064026
0,1,0.5064026
0,1,0.5163939
0,1,0.5231338
1,1,0.5231338
1,1,0.5064026
0,1,0.51784706
0,1,0.5257788
1,1,0.5231338
0,1,0.5231338
1,1,0.5231338
0,1,0.5257788
1,1,0.508917
0,1,0.5175565
0,1,0.5231338
0,1,0.5257788
0,1,0.5257788
0,1,0.5231338
0,1,0.5257788
0,1,0.5257788
1,1,0.5231338
0,1,0.5257788
0,1,0.5257788
0,1,0.5175565
0,1,0.5257788
0,1,0.55158925
0,1,0.5231338
0,1,0.5231338
1,1,0.5434259
1,1,0.51784706
0,1,0.5257788
1,1,0.55158925
0,1,0.5257788
0,1,0.5231338
1,1,0.5257788
1,1,0.51784706
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
0,1,0.5231338
1,1,0.5231338
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
0,1,0.5257788
0,1,0.5163939
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5014293
1,1,0.5257788
0,1,0.5257788
0,1,0.5257788
1,1,0.5257788
0,1,0.5064026
0,1,0.5257788
1,1,0.5175565
0,1,0.51667136
0,1,0.5257788
1,1,0.5064026
1,1,0.5231338
0,1,0.5257788
0,1,0.5064026
0,1,0.5257788
0,1,0.5257788
1,1,0.5257788
1,1,0.508917
1,1,0.5231338
1,1,0.51784706
1,1,0.5064026
0,1,0.5257788
1,1,0.5163939
1,1,0.51784706
0,1,0.5163939
1,1,0.5231338
0,1,0.5257788
0,1,0.5064026
0,1,0.5169342
1,1,0.51784706
1,1,0.5064026
0,1,0.5231338
0,0,0.49652693
0,1,0.5231338
0,1,0.5231338
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5231338
0,1,0.5231338
0,1,0.5257788
0,1,0.5257788
0,1,0.52294344
0,1,0.5257788
0,1,0.5231338
0,1,0.5257788
0,1,0.5257788
0,1,0.5231338
0,1,0.5231338
0,1,0.5257788
0,1,0.52585644
0,1,0.5064026
0,1,0.5163939
0,1,0.5064026
0,1,0.5231338
0,1,0.5257788
1,1,0.55158925
0,1,0.5257788
0,1,0.5257788
0,1,0.5175565
1,1,0.5175565
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
0,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5175565
1,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
1,1,0.5231338
1,1,0.5175565
1,1,0.5257788
1,1,0.5064026
0,1,0.5257788
1,1,0.5064026
1,1,0.5231338
1,1,0.5257788
1,1,0.55158925
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5064026
1,1,0.5257788
1,1,0.5231338
0,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5231338
1,1,0.5064026
1,1,0.5231338
1,1,0.5231338
1,1,0.5257788
1,1,0.5231338
1,1,0.51784706
1,1,0.5231338
1,1,0.51784706
1,1,0.5064026
1,1,0.5231338
1,1,0.51784706
1,1,0.5231338
0,1,0.5231338
1,1,0.5070155
1,1,0.5257788
1,1,0.5257788
1,1,0.508917
1,1,0.5163939
1,1,0.5231338
1,1,0.508917
1,1,0.5231338
1,1,0.51784706
1,1,0.51784706
1,1,0.51784706
1,1,0.5231338
1,1,0.5231338
0,1,0.5257788
1,1,0.508917
1,1,0.51402164
1,1,0.5163939
1,1,0.51784706
1,1,0.5231338
1,1,0.5257788
1,1,0.5231338
1,1,0.51784706
1,1,0.51784706
1,1,0.5285152
1,1,0.51784706
1,1,0.508917
1,1,0.5231338
1,1,0.5064026
1,1,0.51784706
1,1,0.508917
1,1,0.5064026
1,1,0.5231338
1,1,0.5257788
1,1,0.51784706
1,1,0.5231338
1,1,0.51784706
1,1,0.5163939
1,1,0.51784706
1,1,0.51784706
1,1,0.5489648
0,1,0.5163939
0,1,0.5064026
0,1,0.508917
1,1,0.5231338
1,1,0.51784706
0,1,0.5163939
1,1,0.51784706
0,1,0.5231338
0,1,0.508917
1,1,0.5231338
1,1,0.5064026
0,1,0.51081145
1,1,0.5257788
1,1,0.51784706
0,1,0.5163939
1,1,0.5231338
0,1,0.5163939
1,1,0.51784706
1,1,0.51784706
1,1,0.51784706
0,1,0.508917
0,1,0.51784706
0,1,0.5231338
1,1,0.51784706
1,1,0.5122655
1,1,0.5231338
1,1,0.5257788
1,1,0.5231338
0,1,0.5231338
1,1,0.5257788
0,1,0.5257788
0,1,0.5257788
1,1,0.5257788
1,1,0.5257788
0,1,0.5175565
0,1,0.5257788
0,1,0.51784706
0,1,0.5175565
0,1,0.5163939
0,1,0.5257788
1,1,0.5231338
1,1,0.5257788
1,1,0.5231338
0,1,0.5231338
1,1,0.5175565
0,1,0.5257788
0,1,0.5257788
1,1,0.5257788
1,1,0.5231338
0,1,0.5257788
1,1,0.5231338
1,1,0.5231338
1,1,0.5257788
1,1,0.5257788
1,1,0.5175565
1,1,0.5257788
1,1,0.5163939
1,1,0.5257788
0,1,0.5257788
0,1,0.5175565
1,1,0.5175565
1,1,0.5231338
0,1,0.5257788
1,1,0.5231338
1,1,0.5257788
1,1,0.5231338
0,1,0.5231338
1,1,0.5257788
1,1,0.5257788
0,1,0.5175565
1,1,0.5257788
1,1,0.5231338
0,1,0.5257788
1,1,0.5163939
1,1,0.51784706
0,1,0.5231338
1,1,0.5257788
1,1,0.5231338
0,1,0.5257788
0,1,0.5257788
1,1,0.5257788
1,1,0.5163939
1,1,0.5163939
1,1,0.5231338
1,1,0.5257788
1,1,0.5231338
1,1,0.5231338
1,1,0.5231338
0,1,0.5231338
1,1,0.5257788
0,1,0.51784706
1,1,0.5231338
0,1,0.5163939
0,1,0.5231338
0,1,0.5043085
0,1,0.5231338
1,1,0.51784706
1,1,0.5231338
1,1,0.5231338
0,1,0.5257788
1,1,0.5231338
1,1,0.5257788
0,1,0.5257788
1,1,0.5257788
0,1,0.5257788
0,1,0.5231338
0,1,0.5257788
1,1,0.5231338
1,1,0.5231338
1,1,0.5231338
1,1,0.5231338
0,1,0.5231338
0,1,0.5231338
1,1,0.5231338
0,1,0.5231338
0,1,0.5231338
0,1,0.5257788
1,1,0.5257788
0,1,0.5257788
1,1,0.5231338
0,1,0.5231338
1,1,0.51784706
1,1,0.5257788
0,1,0.5231338
1,1,0.55158925
0,1,0.51784706
1,1,0.5257788
1,1,0.5257788
1,1,0.508917
0,1,0.5231338
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5163939
1,1,0.5231338
1,1,0.5064026
1,1,0.5163939
0,1,0.55158925
1,1,0.5257788
1,1,0.5231338
1,1,0.5231338
1,1,0.5231338
1,1,0.5257788
1,1,0.5257788
1,1,0.5231338
1,1,0.5257788
1,1,0.5257788
1,1,0.5231338
0,1,0.5163939
1,1,0.5231338
1,1,0.5231338
1,1,0.51667136
1,1,0.5231338
0,1,0.5231338
1,1,0.5231338
1,1,0.5163939
1,1,0.5231338
1,1,0.5231338
1,1,0.5231338
1,1,0.51784706
1,1,0.51784706
1,1,0.5231338
1,1,0.508917
1,1,0.5163939
1,1,0.5231338
1,1,0.5257788
1,1,0.5064026
1,1,0.5231338
1,1,0.5257788
1,1,0.51784706
1,1,0.5231338
1,1,0.5231338
0,1,0.5163939
1,1,0.5257788
1,1,0.51784706
0,1,0.5163939
0,1,0.51784706
0,1,0.5163939
0,1,0.5231338
0,1,0.5231338
1,1,0.5231338
0,1,0.5070155
0,1,0.5163939
1,1,0.5163939
0,1,0.5231338
1,1,0.51784706
1,1,0.5231338
0,1,0.51784706
1,1,0.5231338
0,1,0.51784706
0,1,0.5163939
0,1,0.5163939
1,1,0.51784706
0,1,0.5163939
0,1,0.5257788
0,1,0.5163939
0,1,0.51784706
1,1,0.5257788
1,1,0.5257788
0,1,0.508917
1,1,0.5257788
1,1,0.5163939
1,1,0.5257788
1,1,0.5231338
0,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
0,1,0.5257788
1,1,0.5257788
0,1,0.5257788
0,1,0.5257788
1,1,0.5231338
1,1,0.5175565
1,1,0.5175565
0,1,0.5257788
1,1,0.51784706
0,1,0.5257788
1,1,0.5257788
0,1,0.5257788
1,1,0.51784706
1,1,0.5257788
0,1,0.5257788
1,1,0.5257788
1,1,0.5231338
1,1,0.5257788
0,1,0.5231338
0,1,0.51784706
0,1,0.5257788
0,1,0.5231338
1,1,0.5231338
1,1,0.5257788
0,1,0.5257788
0,1,0.5231338
0,1,0.5257788
1,1,0.5175565
1,1,0.51784706
1,1,0.5175565
0,1,0.5231338
0,1,0.5231338
1,1,0.5122655
1,1,0.51784706
1,1,0.5257788
0,1,0.5064026
1,1,0.5231338
1,1,0.5257788
1,1,0.5231338
1,1,0.5257788
1,1,0.5257788
0,1,0.51784706
1,1,0.5231338
0,1,0.5257788
1,1,0.5257788
0,1,0.5257788
1,1,0.5257788
1,1,0.5163939
1,1,0.5231338
0,1,0.5231338
1,1,0.5257788
1,1,0.5231338
1,1,0.51784706
1,1,0.51784706
0,1,0.5231338
0,1,0.5231338
1,1,0.5257788
1,1,0.5231338
1,1,0.5231338
1,1,0.5257788
0,1,0.5257788
1,1,0.5231338
0,1,0.5231338
0,1,0.5257788
0,1,0.5163939
0,1,0.51784706
0,1,0.5231338
0,1,0.5163939
1,1,0.5257788
0,1,0.5257788
1,1,0.5257788
1,1,0.5231338
0,1,0.5231338
0,1,0.5163939
0,1,0.5257788
1,1,0.5231338
0,1,0.5231338
0,1,0.5231338
0,1,0.5231338
1,1,0.5257788
0,1,0.51178825
0,1,0.5231338
0,1,0.51784706
1,1,0.5257788
0,1,0.5231338
0,1,0.5231338
1,1,0.5163939
0,1,0.5231338
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5231338
0,1,0.5257788
0,1,0.5231338
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5231338
0,1,0.5257788
0,1,0.5257788
0,1,0.5257788
0,1,0.5064026
0,1,0.5257788
0,1,0.5257788
1,1,0.5257788
0,1,0.5231338
1,1,0.5257788
1,1,0.5257788
1,1,0.5175565
0,1,0.5257788
1,1,0.55158925
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5163939
0,1,0.5257788
0,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
1,1,0.5257788
0,1,0.5257788
1,1,0.5257788
1,1,0.5257788
